,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.340848207473755,0,0,0,50,0.06,423.383060693741
75,0.376034498214722,0,0,0,75,0.066666666666667,385.752056837082
100,0.402089476585388,0.166666666666667,0.004854368932039,0.009433962264151,100,0.08,349.714297056198
120,0.496211469173431,0.166666666666667,0.014563106796117,0.026785714285714,120,0.083333333333333,344.076748371124
140,0.447967916727066,0.230769230769231,0.014563106796117,0.027397260273973,140,0.092857142857143,408.254777669907
160,0.51906555891037,0.111111111111111,0.024271844660194,0.039840637450199,160,0.09375,378.275838851929
180,0.537936985492706,0.111111111111111,0.009708737864078,0.017857142857143,180,0.088888888888889,408.210448026657
200,0.558510363101959,0.12,0.014563106796117,0.025974025974026,200,0.085,360.037026882172
250,0.548180282115936,0.194444444444444,0.067961165048544,0.100719424460432,250,0.072,216.609958410263
300,0.560775935649872,0.321428571428571,0.04368932038835,0.076923076923077,300,0.07,221.355788707733
400,0.572706401348114,0.378378378378378,0.067961165048544,0.11522633744856,400,0.08,226.280152320862
500,0.414731979370117,0.475247524752475,0.233009708737864,0.312703583061889,500,0.084,231.18017244339
600,0.29147881269455,0.695945945945946,0.5,0.581920903954802,600,0.086666666666667,238.458451747894
700,0.241614148020744,0.74025974025974,0.553398058252427,0.633333333333333,700,0.082857142857143,240.155247688293
800,0.269745826721191,0.74025974025974,0.553398058252427,0.633333333333333,800,0.08875,248.792016029358
900,0.390592247247696,0.533333333333333,0.310679611650485,0.392638036809816,900,0.091111111111111,256.074758529663
1000,0.339329689741135,0.727272727272727,0.388349514563107,0.506329113924051,1000,0.094,265.640007019043
1100,0.312144547700882,0.755244755244755,0.524271844660194,0.6189111747851,1100,0.092727272727273,261.174546957016
1200,0.240162536501884,0.745762711864407,0.640776699029126,0.689295039164491,1200,0.094166666666667,271.258845329285
1300,0.272498965263367,0.796052631578947,0.587378640776699,0.675977653631285,1300,0.094615384615385,275.886335611343
1400,0.227475702762604,0.757396449704142,0.621359223300971,0.682666666666667,1400,0.096428571428572,288.125464200973
1500,0.224679231643677,0.755555555555556,0.660194174757282,0.704663212435233,1500,0.097333333333333,295.637936592102
2000,0.261163413524628,0.827814569536424,0.606796116504854,0.700280112044818,2000,0.098,317.9319024086
5743,0.172931015491486,0.871794871794872,0.825242718446602,0.84788029925187,5743,0.107261013407627,481.709488153458
