,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time
0,0.07394490391016006,0.9514348785871964,0.9329004329004329,0.9707207207207207,200,165.10281896591187
1,0.053713615983724594,0.9685393258426966,0.9663677130044843,0.9707207207207207,240,180.5329999923706
2,0.0437767393887043,0.9722530521642618,0.9584245076586433,0.9864864864864865,280,181.60676407814026
3,0.03364614024758339,0.9774774774774775,0.9774774774774775,0.9774774774774775,320,192.41590785980225
4,0.036180052906274796,0.9732739420935412,0.9625550660792952,0.9842342342342343,360,188.61491179466248
5,0.04337437450885773,0.9702315325248071,0.9503239740820735,0.990990990990991,400,186.47305560112
6,0.02208888903260231,0.9876265466816648,0.9865168539325843,0.9887387387387387,440,189.54545092582703
7,0.016674721613526344,0.9898534385569334,0.9909706546275395,0.9887387387387387,480,201.22162508964539
8,0.020638592541217804,0.9820224719101124,0.9798206278026906,0.9842342342342343,520,195.13319540023804
9,0.022517014294862747,0.9865470852017937,0.9821428571428571,0.990990990990991,560,191.37537217140198
10,0.018648488447070122,0.9876543209876544,0.9843400447427293,0.990990990990991,600,194.55826330184937
11,0.015236246399581432,0.9887133182844244,0.9909502262443439,0.9864864864864865,640,201.97238302230835
12,0.018398946151137352,0.9842342342342343,0.9842342342342343,0.9842342342342343,680,203.40894484519958
13,0.021517977118492126,0.9854748603351955,0.9778270509977827,0.9932432432432432,720,205.13467717170715
14,0.015588000416755676,0.9910112359550561,0.9887892376681614,0.9932432432432432,760,200.4262957572937
15,0.018886832520365715,0.9876265466816648,0.9865168539325843,0.9887387387387387,800,204.24954867362976
16,0.018245402723550797,0.9864559819413092,0.9886877828054299,0.9842342342342343,840,218.08990716934204
17,0.018132902681827545,0.9876265466816648,0.9865168539325843,0.9887387387387387,880,207.39963555335999
18,0.02213324047625065,0.9864559819413092,0.9886877828054299,0.9842342342342343,920,216.65548968315125
19,0.01908084750175476,0.9898762654668166,0.9887640449438202,0.990990990990991,960,213.6540949344635
20,0.018301473930478096,0.9887133182844244,0.9909502262443439,0.9864864864864865,1000,219.00346970558167
