,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.173,0.217,0.259,0.255,200.0,200.0,9.731,0.019,0.001
1,0.018,0.029,0.116,0.088,266.667,233.333,14.836,0.026,0.001
2,0.033,0.015,0.087,0.058,346.667,273.333,11.855,0.033,0.002
3,0.084,0.049,0.059,0.118,426.667,313.333,17.037,0.038,0.003
4,0.018,0.023,0.033,0.047,506.667,353.333,11.285,0.032,0.003
5,0.042,0.033,0.058,0.051,586.667,393.333,18.227,0.034,0.004
6,0.015,0.028,0.043,0.028,666.667,433.333,18.973,0.04,0.005
7,0.012,0.007,0.071,0.045,746.667,473.333,16.715,0.035,0.005
8,0.031,0.032,0.078,0.01,826.667,513.333,15.287,0.037,0.005
9,0.023,0.014,0.025,0.031,906.667,553.333,16.127,0.038,0.006
10,0.018,0.031,0.02,0.043,986.667,593.333,22.436,0.036,0.006
11,0.022,0.003,0.004,0.007,1066.667,633.333,17.42,0.03,0.006
12,0.016,0.016,0.047,0.013,1146.667,673.333,22.263,0.026,0.006
13,0.023,0.024,0.018,0.033,1226.667,713.333,20.328,0.024,0.006
14,0.014,0.027,0.037,0.056,1306.667,753.333,21.263,0.018,0.005
15,0.01,0.005,0.023,0.011,1386.667,793.333,16.436,0.018,0.005
16,0.014,0.03,0.022,0.035,1466.667,833.333,26.694,0.015,0.004
17,0.012,0.009,0.017,0.009,1538.667,869.333,17.168,0.01,0.002
18,0.011,0.019,0.023,0.039,1610.667,905.333,16.695,0.004,0.001
19,0.016,0.02,0.01,0.037,1672.667,936.333,16.507,0.004,0.001
20,0.032,0.003,0.019,0.007,1728.0,964.0,15.187,0.004,0.001
