,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.459,0.0,0.0,0.0,10,0.1,0.094,364.48
1,0.378,0.0,0.0,0.0,20,0.067,0.094,384.585
2,0.314,0.0,0.0,0.0,40,0.083,0.094,391.079
3,0.352,0.0,0.0,0.0,60,0.067,0.094,397.171
4,0.325,0.0,0.0,0.0,80,0.083,0.094,385.118
5,0.37,0.095,0.081,0.114,100,0.083,0.094,391.881
6,0.358,0.138,0.216,0.102,120,0.083,0.094,396.434
7,0.367,0.163,0.334,0.114,140,0.083,0.094,401.189
8,0.397,0.117,0.273,0.076,160,0.081,0.094,404.436
9,0.367,0.019,0.087,0.01,180,0.08,0.094,402.498
10,0.328,0.258,0.356,0.223,200,0.083,0.094,401.703
11,0.408,0.309,0.453,0.238,240,0.092,0.094,401.674
12,0.399,0.206,0.314,0.154,280,0.085,0.094,407.467
13,0.393,0.151,0.25,0.111,320,0.078,0.095,410.654
14,0.361,0.45,0.562,0.378,360,0.08,0.095,407.455
15,0.267,0.603,0.734,0.528,400,0.082,0.095,410.463
16,0.374,0.216,0.272,0.187,440,0.081,0.095,411.886
17,0.323,0.512,0.674,0.435,480,0.083,0.095,408.58
18,0.313,0.552,0.625,0.503,520,0.082,0.095,428.867
19,0.286,0.433,0.489,0.389,560,0.078,0.095,419.726
20,0.242,0.682,0.755,0.625,600,0.081,0.095,424.524
21,0.267,0.648,0.8,0.546,640,0.083,0.095,429.661
22,0.353,0.466,0.503,0.461,680,0.084,0.095,434.178
23,0.238,0.66,0.775,0.584,720,0.086,0.095,441.724
24,0.299,0.606,0.743,0.547,760,0.086,0.095,450.076
25,0.325,0.547,0.616,0.497,800,0.088,0.095,449.009
26,0.224,0.686,0.718,0.658,840,0.09,0.094,454.219
27,0.204,0.767,0.821,0.729,880,0.09,0.094,456.964
28,0.273,0.628,0.702,0.572,920,0.091,0.094,453.821
29,0.21,0.722,0.773,0.68,960,0.09,0.095,459.876
30,0.181,0.793,0.854,0.741,1000,0.088,0.095,455.623
31,0.206,0.769,0.798,0.746,1536,0.088,0.096,483.121
32,0.161,0.842,0.87,0.815,3072,0.092,0.095,582.059
33,0.156,0.859,0.88,0.839,6144,0.094,0.094,805.864
